"hgnc_id"	"family_id"
"11148"	"3"
"3960"	"3"
"3961"	"3"
"3477"	"1963"
"4621"	"1963"
"4622"	"1963"
"9962"	"1963"
"16719"	"1963"
"18599"	"2224"
"18598"	"2224"
"16691"	"2224"
"18600"	"2224"
"18127"	"2224"
"8662"	"20"
"8663"	"20"
"8664"	"20"
"8665"	"20"
"11021"	"2186"
"11022"	"2186"
"18222"	"2286"
"19894"	"772"
"11868"	"772"
"25751"	"772"
"24284"	"772"
"13187"	"8"
"13188"	"8"
"13189"	"8"
"15770"	"8"
"14264"	"1221"
"14377"	"1221"
"14378"	"1221"
"35293"	"1858"
"38233"	"1858"
"38246"	"1858"
"34892"	"841"
"35097"	"841"
"35095"	"841"
"34945"	"841"
"35038"	"841"
"35027"	"841"
"2890"	"1221"
"35294"	"1858"
"35295"	"1858"
"35296"	"1858"
"35297"	"1858"
"35298"	"1858"
"35299"	"1858"
"35300"	"1858"
"38218"	"1858"
"35277"	"1863"
"35278"	"1863"
"38241"	"1867"
"38213"	"1867"
"38229"	"1867"
"38997"	"1872"
"43460"	"1872"
"50829"	"1872"
"50828"	"1872"
"25828"	"772"
"25604"	"772"
"23068"	"772"
"30887"	"772"
"19942"	"772"
"19943"	"772"
"23067"	"772"
"23069"	"772"
"23066"	"772"
"29169"	"772"
"30832"	"772"
"21090"	"772"
"11023"	"2186"
"20753"	"2186"
"8666"	"20"
"30626"	"2230"
"32796"	"1806"
"32797"	"1806"
"32798"	"1806"
"38944"	"1806"
"38921"	"1806"
"41825"	"1806"
"41626"	"1806"
"41683"	"1806"
"41742"	"1806"
"41831"	"1806"
"41625"	"1806"
"41745"	"1806"
"24721"	"2230"
"15867"	"2230"
"31675"	"2230"
"26465"	"2230"
"6556"	"2205"
"14648"	"2205"
"24241"	"2205"
"42872"	"1688"
"28964"	"1688"
"4713"	"1688"
"26885"	"1688"
"14575"	"1688"
"14574"	"1688"
"39522"	"1688"
"56862"	"1688"
"16159"	"1688"
"53821"	"1688"
"27231"	"1688"
"48723"	"1688"
"52482"	"1688"
"55045"	"1688"
"55966"	"1688"
"49594"	"1688"
"42871"	"1688"
"55980"	"1688"
"35460"	"1688"
"23564"	"1688"
"48659"	"1688"
"37188"	"1688"
"31448"	"1688"
"51945"	"1688"
"51946"	"1688"
"53161"	"1688"
"49402"	"1688"
"51555"	"1688"
"43562"	"1688"
"39524"	"1688"
"51999"	"1688"
"50537"	"1688"
"55938"	"1688"
"49555"	"1688"
"54520"	"1688"
"28219"	"1688"
"27620"	"1688"
"32018"	"1688"
"41070"	"1688"
"56081"	"1688"
"51944"	"1688"
"56144"	"1688"
"52000"	"1688"
"56193"	"1688"
"37187"	"1688"
"50346"	"1688"
"51913"	"1688"
"55987"	"1688"
"54306"	"1688"
"8655"	"21"
"13404"	"21"
"8656"	"21"
"15813"	"21"
"8657"	"21"
"14267"	"21"
"14268"	"21"
"14270"	"21"
"14257"	"21"
"8659"	"21"
"8660"	"21"
"8661"	"21"
"7076"	"1300"
"18432"	"1300"
"24008"	"1300"
"8517"	"1300"
"28426"	"1332"
"24825"	"1332"
"3942"	"1332"
"30287"	"1332"
"9001"	"1151"
"9002"	"1151"
"21045"	"1151"
"13233"	"27"
"16677"	"27"
"16675"	"27"
"16676"	"27"
"16673"	"27"
"9003"	"1151"
"21044"	"1151"
"21043"	"1151"
"20589"	"91"
"21086"	"91"
"30577"	"91"
"30990"	"91"
"29027"	"91"
"24523"	"91"
"3058"	"91"
"3057"	"91"
"23279"	"91"
"11280"	"91"
"12635"	"91"
"2928"	"91"
"3373"	"91"
"6887"	"1156"
"6888"	"1156"
"6889"	"1156"
"7110"	"1156"
"7111"	"1156"
"10430"	"1156"
"10431"	"1156"
"10432"	"1156"
"10433"	"1156"
"10434"	"1156"
"10435"	"1156"
"20792"	"2186"
"20798"	"2186"
"16872"	"2186"
"21601"	"2186"
"20584"	"2186"
"20197"	"2186"
"20800"	"2186"
"20799"	"2186"
"15621"	"2186"
"20803"	"2186"
"20863"	"2186"
"33941"	"2186"
"20864"	"2186"
"17058"	"2186"
"21483"	"2186"
"23615"	"2186"
"23616"	"2186"
"19845"	"2186"
"23617"	"2186"
"26055"	"2186"
"26607"	"2186"
"9906"	"2286"
"27097"	"2286"
"13447"	"2188"
"28237"	"2188"
"26836"	"2188"
"13448"	"2188"
"18044"	"2188"
"14679"	"2188"
"18070"	"2188"
"19863"	"2188"
"25582"	"2188"
"32434"	"2188"
"26907"	"2188"
"25984"	"2188"
"9080"	"2300"
"11089"	"2300"
"52297"	"2300"
"48649"	"2300"
"10474"	"2007"
"10475"	"2007"
"11212"	"2007"
"25210"	"2007"
"55941"	"1688"
"50676"	"1688"
"28010"	"1688"
"55382"	"1688"
"277"	"169"
"278"	"169"
"280"	"169"
"281"	"169"
"282"	"169"
"283"	"169"
"285"	"169"
"286"	"169"
"288"	"169"
"17734"	"188"
"4514"	"188"
"4513"	"188"
"31924"	"188"
"30236"	"188"
"20978"	"188"
"31925"	"188"
"14964"	"188"
"20977"	"188"
"30781"	"91"
"3032"	"91"
"6746"	"91"
"4868"	"91"
"2348"	"91"
"4579"	"1199"
"4580"	"1199"
"4581"	"1199"
"4582"	"1199"
"4583"	"1199"
"26021"	"145"
"41605"	"1806"
"41854"	"1806"
"41884"	"1806"
"41600"	"1806"
"41893"	"1806"
"41736"	"1806"
"41637"	"1806"
"41681"	"1806"
"43539"	"1806"
"43465"	"1806"
"43488"	"1806"
"43550"	"1806"
"43517"	"1806"
"43483"	"1806"
"43537"	"1806"
"43454"	"1806"
"43528"	"1806"
"49943"	"1806"
"49981"	"1806"
"32799"	"1806"
"50260"	"1806"
"50834"	"1806"
"32800"	"1806"
"5283"	"971"
"5284"	"971"
"11369"	"971"
"2674"	"1021"
"2675"	"1021"
"2676"	"1021"
"11395"	"1021"
"11396"	"1021"
"2849"	"1178"
"2850"	"1178"
"2851"	"1178"
"2852"	"1178"
"2853"	"1178"
"2854"	"1178"
